Month Ending,ME Date,Year,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
March,31,2022,Benton,WA,Passenger,698,444,1142,135765,136907,0.83
March,31,2022,Williams,ND,Passenger,0,1,1,7,8,12.5
March,31,2022,Bell,TX,Passenger,1,0,1,328,329,0.3
March,31,2022,Chesapeake,VA,Passenger,2,3,5,352,357,1.4
March,31,2022,Gwinnett,GA,Passenger,1,0,1,54,55,1.82
March,31,2022,Essex,NJ,Passenger,2,0,2,9,11,18.18
March,31,2022,Lake,FL,Passenger,1,0,1,21,22,4.55
March,31,2022,Harnett,NC,Passenger,2,0,2,139,141,1.42
March,31,2022,Walla Walla,WA,Passenger,157,91,248,36119,36367,0.68
March,31,2022,Jefferson,WA,Truck,0,0,0,9544,9544,0
March,31,2022,Orange,FL,Passenger,1,0,1,94,95,1.05
March,31,2022,Fairbanks North Star,AK,Passenger,0,1,1,76,77,1.3
March,31,2022,Grays Harbor,WA,Truck,0,0,0,21365,21365,0
March,31,2022,Loudoun,VA,Passenger,1,1,2,66,68,2.94
March,31,2022,Yellowstone,MT,Passenger,0,1,1,28,29,3.45
March,31,2022,Skamania,WA,Truck,0,0,0,3973,3973,0
March,31,2022,Dallas,TX,Passenger,1,0,1,117,118,0.85
March,31,2022,Greene,MO,Passenger,0,1,1,23,24,4.17
March,31,2022,Los Angeles,CA,Passenger,8,7,15,793,808,1.86
March,31,2022,Onslow,NC,Passenger,0,1,1,164,165,0.61
March,31,2022,Carroll,NH,Passenger,0,1,1,5,6,16.67
March,31,2022,Denton,TX,Passenger,1,0,1,68,69,1.45
March,31,2022,Cape May,NJ,Passenger,0,1,1,8,9,11.11
March,31,2022,Garfield,WA,Passenger,0,3,3,1332,1335,0.22
March,31,2022,Elmore,ID,Passenger,1,0,1,14,15,6.67
March,31,2022,Duval,FL,Passenger,0,2,2,286,288,0.69
March,31,2022,San Juan,WA,Passenger,492,152,644,14129,14773,4.36
March,31,2022,Multnomah,OR,Passenger,1,4,5,564,569,0.88
March,31,2022,Randolph,NC,Passenger,1,0,1,4,5,20
