,Month_ending,Year,County,State,Primary_use,Battery_BEVs,Hybrid_(PHEVs),EV_Total,Non-Electric_Total,Total_Veh,%_Electric,Proximity,State_Names
804,April,2020,Douglas,WA,Passenger,69,40,109,28017,28126,0.39,Washington,Washington
808,April,2020,Jefferson,WA,Truck,0,0,0,9531,9531,0.0,Washington,Washington
814,April,2020,Adams,WA,Passenger,7,7,14,12756,12770,0.11,Washington,Washington
816,April,2020,Skagit,WA,Passenger,397,215,612,91480,92092,0.66,Washington,Washington
820,April,2020,Whatcom,WA,Passenger,1058,490,1548,150136,151684,1.02,Washington,Washington
825,April,2020,Kittitas,WA,Truck,0,0,0,14593,14593,0.0,Washington,Washington
830,April,2020,Lewis,WA,Truck,0,0,0,25979,25979,0.0,Washington,Washington
834,April,2020,Yakima,WA,Truck,0,0,0,59516,59516,0.0,Washington,Washington
838,April,2020,Clark,WA,Truck,0,0,0,81837,81837,0.0,Washington,Washington
839,April,2020,Snohomish,WA,Passenger,4400,1751,6151,535202,541353,1.14,Washington,Washington
842,April,2020,Grays Harbor,WA,Passenger,106,110,216,48072,48288,0.45,Washington,Washington
843,April,2020,Lincoln,WA,Passenger,4,12,16,7676,7692,0.21,Washington,Washington
844,April,2020,Klickitat,WA,Passenger,53,41,94,15425,15519,0.61,Washington,Washington
845,April,2020,Whatcom,WA,Truck,3,0,3,42832,42835,0.01,Washington,Washington
847,April,2020,San Juan,WA,Passenger,295,88,383,14157,14540,2.63,Washington,Washington
848,April,2021,Thurston,WA,Truck,0,0,0,56710,56710,0.0,Washington,Washington
