,Month_ending,Year,County,State,Primary_use,Battery_BEVs,Hybrid_(PHEVs),EV_Total,Non-Electric_Total,Total_Veh,%_Electric,Proximity,State_Names
295,April,2018,St. Clair,IL,Passenger,0,1,1,150,151,0.66,Mid-Distance,Illinois
298,April,2018,Prince George's,MD,Passenger,1,1,2,185,187,1.07,Furthest,Maryland
300,April,2018,Manassas,VA,Passenger,0,1,1,9,10,10.0,Furthest,Virginia
301,April,2018,Nueces,TX,Passenger,1,1,2,96,98,2.04,Mid-Distance,Texas
303,April,2018,Clark,NV,Passenger,1,2,3,746,749,0.4,Nearest,Nevada
304,April,2018,Polk,FL,Passenger,1,0,1,63,64,1.56,Furthest,Florida
305,April,2018,Broward,FL,Passenger,0,1,1,130,131,0.76,Furthest,Florida
309,April,2018,Sedgwick,KS,Passenger,0,1,1,99,100,1.0,Mid-Distance,Kansas
313,April,2018,Carroll,NH,Passenger,0,1,1,1,2,50.0,Furthest,New Hampshire
315,April,2018,San Francisco,CA,Passenger,0,1,1,133,134,0.75,Nearest,California
316,April,2018,Marin,CA,Passenger,1,0,1,56,57,1.75,Nearest,California
317,April,2018,Hamilton,TN,Passenger,1,0,1,23,24,4.17,Furthest,Tennessee
318,April,2018,Sumter,FL,Passenger,0,1,1,10,11,9.09,Furthest,Florida
319,April,2018,Klamath,OR,Passenger,1,0,1,34,35,2.86,Nearest,Oregon
320,April,2018,Orleans,LA,Passenger,0,1,1,47,48,2.08,Mid-Distance,Louisiana
321,April,2018,Tuolumne,CA,Passenger,0,1,1,13,14,7.14,Nearest,California
322,April,2018,Queens,NY,Passenger,1,0,1,62,63,1.59,Furthest,New York
323,April,2018,Clackamas,OR,Passenger,0,1,1,227,228,0.44,Nearest,Oregon
324,April,2018,Deschutes,OR,Passenger,1,0,1,172,173,0.58,Nearest,Oregon
327,April,2018,Honolulu,HI,Passenger,2,2,4,532,536,0.75,Nearest,Hawaii
328,April,2018,Lumpkin,GA,Passenger,1,0,1,7,8,12.5,Furthest,Georgia
331,April,2018,Pima,AZ,Passenger,1,1,2,415,417,0.48,Nearest,Arizona
332,April,2018,New London,CT,Passenger,0,1,1,250,251,0.4,Furthest,Connecticut
333,April,2018,Norfolk,MA,Passenger,1,0,1,36,37,2.7,Furthest,Massachusetts
334,April,2018,Virginia Beach,VA,Passenger,2,1,3,683,686,0.44,Furthest,Virginia
335,April,2018,Arlington,VA,Passenger,1,2,3,172,175,1.71,Furthest,Virginia
337,April,2018,Garfield,OK,Passenger,1,0,1,19,20,5.0,Mid-Distance,Oklahoma
338,April,2018,Bexar,TX,Passenger,2,2,4,777,781,0.51,Mid-Distance,Texas
339,April,2018,Multnomah,OR,Passenger,4,4,8,816,824,0.97,Nearest,Oregon
340,April,2018,Manatee,FL,Passenger,1,0,1,38,39,2.56,Furthest,Florida
342,April,2018,St. Lucie,FL,Passenger,1,0,1,26,27,3.7,Furthest,Florida
343,April,2018,Ada,ID,Passenger,0,2,2,331,333,0.6,Nearest,Idaho
344,April,2018,El Paso,CO,Passenger,2,0,2,751,753,0.27,Mid-Distance,Colorado
345,April,2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33,Mid-Distance,Illinois
346,April,2018,Brevard,FL,Passenger,0,1,1,102,103,0.97,Furthest,Florida
347,April,2018,San Diego,CA,Passenger,7,1,8,2553,2561,0.31,Nearest,California
348,April,2018,Tarrant,TX,Passenger,1,0,1,216,217,0.46,Mid-Distance,Texas
350,April,2018,Palm Beach,FL,Passenger,0,1,1,87,88,1.14,Furthest,Florida
351,April,2018,Madison,ID,Passenger,1,0,1,37,38,2.63,Nearest,Idaho
